from	to
Chaetoceros concavicornis	Cibicides refulgens
Chaetoceros criophilum	Cibicides refulgens
Chaetoceros dichaeta	Cibicides refulgens
Chaetoceros flexuosum	Cibicides refulgens
Chaetoceros neglectum	Cibicides refulgens
Chaetoceros pelagicus	Cibicides refulgens
Chaetoceros socialis	Cibicides refulgens
Corethron criophilum	Cibicides refulgens
Coscinodiscus oculoides	Cibicides refulgens
Cylindrotheca closterium	Cibicides refulgens
Eucampia antarctica	Cibicides refulgens
Fragilariopsis curta	Cibicides refulgens
Fragilariopsis cylindrus	Cibicides refulgens
Fragilariopsis kerguelensis	Cibicides refulgens
Fragilariopsis linearis	Cibicides refulgens
Fragilariopsis nana	Cibicides refulgens
Fragilariopsis obliquecostata	Cibicides refulgens
Fragilariopsis pseudonana	Cibicides refulgens
Fragilariopsis rhombica	Cibicides refulgens
Fragilariopsis ritscheri	Cibicides refulgens
Fragilariopsis separanda	Cibicides refulgens
Fragilariopsis sublinearis	Cibicides refulgens
Fragilariopsis vanheurckii	Cibicides refulgens
Manguinea fusiformis	Cibicides refulgens
Manguinea rigida	Cibicides refulgens
Navicula glaciei	Cibicides refulgens
Navicula schefterae	Cibicides refulgens
Nitzschia kerguelensis	Cibicides refulgens
Nitzschia lecointei	Cibicides refulgens
Nitzschia neglecta	Cibicides refulgens
Odontella weissflogii	Cibicides refulgens
Porosira glacialis	Cibicides refulgens
Porosira pseudodenticulata	Cibicides refulgens
Proboscia alata	Cibicides refulgens
Proboscia inermi	Cibicides refulgens
Proboscia truncata	Cibicides refulgens
Pseudo-Nitzschia heimii	Cibicides refulgens
Pseudo-Nitzschia liniola	Cibicides refulgens
Pseudo-Nitzschia prolongatoides	Cibicides refulgens
Pseudo-Nitzschia subcurvata	Cibicides refulgens
Rhizosolenia antennata	Cibicides refulgens
Stellarima microtrias	Cibicides refulgens
Thalassiosira antarctica	Cibicides refulgens
Thalassiosira australis	Cibicides refulgens
Thalassiosira frenguelliopsis	Cibicides refulgens
Thalassiosira gracilis	Cibicides refulgens
Thalassiosira gracilis expecta	Cibicides refulgens
Thalassiosira gravida	Cibicides refulgens
Thalassiosira lentiginosa	Cibicides refulgens
Thalassiosira ritscheri	Cibicides refulgens
Thalassiosira trifulta	Cibicides refulgens
Thalassiosira tumida	Cibicides refulgens
Trichotoxon reinboldii	Cibicides refulgens
Phytodetritus	Cibicides refulgens
Sediment	Cibicides refulgens
Actinocyclus actinochilus	Globocassidulina crassa
Actinocyclus spiritus	Globocassidulina crassa
Actinocyclus utricularis	Globocassidulina crassa
Azpeitia tabularis	Globocassidulina crassa
Banquisia belgicae	Globocassidulina crassa
Chaetoceros bulbosum	Globocassidulina crassa
Chaetoceros concavicornis	Globocassidulina crassa
Chaetoceros criophilum	Globocassidulina crassa
Chaetoceros dichaeta	Globocassidulina crassa
Chaetoceros flexuosum	Globocassidulina crassa
Chaetoceros neglectum	Globocassidulina crassa
Chaetoceros pelagicus	Globocassidulina crassa
Chaetoceros socialis	Globocassidulina crassa
Corethron criophilum	Globocassidulina crassa
Coscinodiscus oculoides	Globocassidulina crassa
Cylindrotheca closterium	Globocassidulina crassa
Eucampia antarctica	Globocassidulina crassa
Fragilariopsis curta	Globocassidulina crassa
Fragilariopsis cylindrus	Globocassidulina crassa
Fragilariopsis kerguelensis	Globocassidulina crassa
Fragilariopsis linearis	Globocassidulina crassa
Fragilariopsis nana	Globocassidulina crassa
Fragilariopsis obliquecostata	Globocassidulina crassa
Fragilariopsis pseudonana	Globocassidulina crassa
Fragilariopsis rhombica	Globocassidulina crassa
Fragilariopsis ritscheri	Globocassidulina crassa
Fragilariopsis separanda	Globocassidulina crassa
Fragilariopsis sublinearis	Globocassidulina crassa
Fragilariopsis vanheurckii	Globocassidulina crassa
Manguinea fusiformis	Globocassidulina crassa
Manguinea rigida	Globocassidulina crassa
Navicula glaciei	Globocassidulina crassa
Navicula schefterae	Globocassidulina crassa
Nitzschia kerguelensis	Globocassidulina crassa
Nitzschia lecointei	Globocassidulina crassa
Nitzschia neglecta	Globocassidulina crassa
Odontella weissflogii	Globocassidulina crassa
Porosira glacialis	Globocassidulina crassa
Porosira pseudodenticulata	Globocassidulina crassa
Proboscia alata	Globocassidulina crassa
Proboscia inermi	Globocassidulina crassa
Proboscia truncata	Globocassidulina crassa
Pseudo-Nitzschia heimii	Globocassidulina crassa
Pseudo-Nitzschia liniola	Globocassidulina crassa
Pseudo-Nitzschia prolongatoides	Globocassidulina crassa
Pseudo-Nitzschia subcurvata	Globocassidulina crassa
Rhizosolenia antennata	Globocassidulina crassa
Stellarima microtrias	Globocassidulina crassa
Thalassiosira antarctica	Globocassidulina crassa
Thalassiosira australis	Globocassidulina crassa
Thalassiosira frenguelliopsis	Globocassidulina crassa
Thalassiosira gracilis	Globocassidulina crassa
Thalassiosira gracilis expecta	Globocassidulina crassa
Thalassiosira gravida	Globocassidulina crassa
Thalassiosira lentiginosa	Globocassidulina crassa
Thalassiosira ritscheri	Globocassidulina crassa
Thalassiosira trifulta	Globocassidulina crassa
Thalassiosira tumida	Globocassidulina crassa
Trichotoxon reinboldii	Globocassidulina crassa
Phytodetritus	Globocassidulina crassa
Sediment	Globocassidulina crassa
Actinocyclus actinochilus	Lenticulina antarctica
Actinocyclus spiritus	Lenticulina antarctica
Actinocyclus utricularis	Lenticulina antarctica
Azpeitia tabularis	Lenticulina antarctica
Banquisia belgicae	Lenticulina antarctica
Chaetoceros bulbosum	Lenticulina antarctica
Chaetoceros concavicornis	Lenticulina antarctica
Chaetoceros criophilum	Lenticulina antarctica
Chaetoceros dichaeta	Lenticulina antarctica
Chaetoceros flexuosum	Lenticulina antarctica
Chaetoceros neglectum	Lenticulina antarctica
Chaetoceros pelagicus	Lenticulina antarctica
Chaetoceros socialis	Lenticulina antarctica
Corethron criophilum	Lenticulina antarctica
Coscinodiscus oculoides	Lenticulina antarctica
Cylindrotheca closterium	Lenticulina antarctica
Eucampia antarctica	Lenticulina antarctica
Fragilariopsis curta	Lenticulina antarctica
Fragilariopsis cylindrus	Lenticulina antarctica
Fragilariopsis kerguelensis	Lenticulina antarctica
Fragilariopsis linearis	Lenticulina antarctica
Fragilariopsis nana	Lenticulina antarctica
Fragilariopsis obliquecostata	Lenticulina antarctica
Fragilariopsis pseudonana	Lenticulina antarctica
Fragilariopsis rhombica	Lenticulina antarctica
Fragilariopsis ritscheri	Lenticulina antarctica
Fragilariopsis separanda	Lenticulina antarctica
Fragilariopsis sublinearis	Lenticulina antarctica
Fragilariopsis vanheurckii	Lenticulina antarctica
Manguinea fusiformis	Lenticulina antarctica
Manguinea rigida	Lenticulina antarctica
Navicula glaciei	Lenticulina antarctica
Navicula schefterae	Lenticulina antarctica
Nitzschia kerguelensis	Lenticulina antarctica
Nitzschia lecointei	Lenticulina antarctica
Nitzschia neglecta	Lenticulina antarctica
Odontella weissflogii	Lenticulina antarctica
Porosira glacialis	Lenticulina antarctica
Porosira pseudodenticulata	Lenticulina antarctica
Proboscia alata	Lenticulina antarctica
Proboscia inermi	Lenticulina antarctica
Proboscia truncata	Lenticulina antarctica
Pseudo-Nitzschia heimii	Lenticulina antarctica
Pseudo-Nitzschia liniola	Lenticulina antarctica
Pseudo-Nitzschia prolongatoides	Lenticulina antarctica
Pseudo-Nitzschia subcurvata	Lenticulina antarctica
Rhizosolenia antennata	Lenticulina antarctica
Stellarima microtrias	Lenticulina antarctica
Thalassiosira antarctica	Lenticulina antarctica
Thalassiosira australis	Lenticulina antarctica
Thalassiosira frenguelliopsis	Lenticulina antarctica
Thalassiosira gracilis	Lenticulina antarctica
Thalassiosira gracilis expecta	Lenticulina antarctica
Thalassiosira gravida	Lenticulina antarctica
Thalassiosira lentiginosa	Lenticulina antarctica
Thalassiosira ritscheri	Lenticulina antarctica
Thalassiosira trifulta	Lenticulina antarctica
Thalassiosira tumida	Lenticulina antarctica
Trichotoxon reinboldii	Lenticulina antarctica
Phytodetritus	Lenticulina antarctica
Sediment	Lenticulina antarctica
Actinocyclus actinochilus	Neogloboquadriana pachyderma
Actinocyclus spiritus	Neogloboquadriana pachyderma
Actinocyclus utricularis	Neogloboquadriana pachyderma
Azpeitia tabularis	Neogloboquadriana pachyderma
Banquisia belgicae	Neogloboquadriana pachyderma
Chaetoceros bulbosum	Neogloboquadriana pachyderma
Chaetoceros concavicornis	Neogloboquadriana pachyderma
Chaetoceros criophilum	Neogloboquadriana pachyderma
Chaetoceros dichaeta	Neogloboquadriana pachyderma
Chaetoceros flexuosum	Neogloboquadriana pachyderma
Chaetoceros neglectum	Neogloboquadriana pachyderma
Chaetoceros pelagicus	Neogloboquadriana pachyderma
Chaetoceros socialis	Neogloboquadriana pachyderma
Corethron criophilum	Neogloboquadriana pachyderma
Coscinodiscus oculoides	Neogloboquadriana pachyderma
Cylindrotheca closterium	Neogloboquadriana pachyderma
Eucampia antarctica	Neogloboquadriana pachyderma
Fragilariopsis curta	Neogloboquadriana pachyderma
Fragilariopsis cylindrus	Neogloboquadriana pachyderma
Fragilariopsis kerguelensis	Neogloboquadriana pachyderma
Fragilariopsis linearis	Neogloboquadriana pachyderma
Fragilariopsis nana	Neogloboquadriana pachyderma
Fragilariopsis obliquecostata	Neogloboquadriana pachyderma
Fragilariopsis pseudonana	Neogloboquadriana pachyderma
Fragilariopsis rhombica	Neogloboquadriana pachyderma
Fragilariopsis ritscheri	Neogloboquadriana pachyderma
Fragilariopsis separanda	Neogloboquadriana pachyderma
Fragilariopsis sublinearis	Neogloboquadriana pachyderma
Fragilariopsis vanheurckii	Neogloboquadriana pachyderma
Manguinea fusiformis	Neogloboquadriana pachyderma
Manguinea rigida	Neogloboquadriana pachyderma
Navicula glaciei	Neogloboquadriana pachyderma
Navicula schefterae	Neogloboquadriana pachyderma
Nitzschia kerguelensis	Neogloboquadriana pachyderma
Nitzschia lecointei	Neogloboquadriana pachyderma
Nitzschia neglecta	Neogloboquadriana pachyderma
Odontella weissflogii	Neogloboquadriana pachyderma
Porosira glacialis	Neogloboquadriana pachyderma
Porosira pseudodenticulata	Neogloboquadriana pachyderma
Proboscia alata	Neogloboquadriana pachyderma
Proboscia inermi	Neogloboquadriana pachyderma
Proboscia truncata	Neogloboquadriana pachyderma
Pseudo-Nitzschia heimii	Neogloboquadriana pachyderma
Pseudo-Nitzschia liniola	Neogloboquadriana pachyderma
Pseudo-Nitzschia prolongatoides	Neogloboquadriana pachyderma
Pseudo-Nitzschia subcurvata	Neogloboquadriana pachyderma
Rhizosolenia antennata	Neogloboquadriana pachyderma
Stellarima microtrias	Neogloboquadriana pachyderma
Thalassiosira antarctica	Neogloboquadriana pachyderma
Thalassiosira australis	Neogloboquadriana pachyderma
Thalassiosira frenguelliopsis	Neogloboquadriana pachyderma
Thalassiosira gracilis	Neogloboquadriana pachyderma
Thalassiosira gracilis expecta	Neogloboquadriana pachyderma
Thalassiosira gravida	Neogloboquadriana pachyderma
Thalassiosira lentiginosa	Neogloboquadriana pachyderma
Thalassiosira ritscheri	Neogloboquadriana pachyderma
Thalassiosira trifulta	Neogloboquadriana pachyderma
Thalassiosira tumida	Neogloboquadriana pachyderma
Trichotoxon reinboldii	Neogloboquadriana pachyderma
Phytodetritus	Neogloboquadriana pachyderma
Sediment	Neogloboquadriana pachyderma
Actinocyclus actinochilus	Euphausia crystallorophias
Actinocyclus spiritus	Euphausia crystallorophias
Actinocyclus utricularis	Euphausia crystallorophias
Azpeitia tabularis	Euphausia crystallorophias
Banquisia belgicae	Euphausia crystallorophias
Chaetoceros bulbosum	Euphausia crystallorophias
Chaetoceros concavicornis	Euphausia crystallorophias
Chaetoceros criophilum	Euphausia crystallorophias
Chaetoceros dichaeta	Euphausia crystallorophias
Chaetoceros flexuosum	Euphausia crystallorophias
Chaetoceros neglectum	Euphausia crystallorophias
Chaetoceros pelagicus	Euphausia crystallorophias
Chaetoceros socialis	Euphausia crystallorophias
Corethron criophilum	Euphausia crystallorophias
Coscinodiscus oculoides	Euphausia crystallorophias
Cylindrotheca closterium	Euphausia crystallorophias
Eucampia antarctica	Euphausia crystallorophias
Fragilariopsis curta	Euphausia crystallorophias
Fragilariopsis cylindrus	Euphausia crystallorophias
Fragilariopsis kerguelensis	Euphausia crystallorophias
Fragilariopsis linearis	Euphausia crystallorophias
Fragilariopsis nana	Euphausia crystallorophias
Fragilariopsis obliquecostata	Euphausia crystallorophias
Fragilariopsis pseudonana	Euphausia crystallorophias
Fragilariopsis rhombica	Euphausia crystallorophias
Fragilariopsis ritscheri	Euphausia crystallorophias
Fragilariopsis separanda	Euphausia crystallorophias
Fragilariopsis sublinearis	Euphausia crystallorophias
Fragilariopsis vanheurckii	Euphausia crystallorophias
Manguinea fusiformis	Euphausia crystallorophias
Manguinea rigida	Euphausia crystallorophias
Navicula glaciei	Euphausia crystallorophias
Navicula schefterae	Euphausia crystallorophias
Nitzschia kerguelensis	Euphausia crystallorophias
Nitzschia lecointei	Euphausia crystallorophias
Nitzschia neglecta	Euphausia crystallorophias
Odontella weissflogii	Euphausia crystallorophias
Porosira glacialis	Euphausia crystallorophias
Porosira pseudodenticulata	Euphausia crystallorophias
Proboscia alata	Euphausia crystallorophias
Proboscia inermi	Euphausia crystallorophias
Proboscia truncata	Euphausia crystallorophias
Pseudo-Nitzschia heimii	Euphausia crystallorophias
Pseudo-Nitzschia liniola	Euphausia crystallorophias
Pseudo-Nitzschia prolongatoides	Euphausia crystallorophias
Pseudo-Nitzschia subcurvata	Euphausia crystallorophias
Rhizosolenia antennata	Euphausia crystallorophias
Stellarima microtrias	Euphausia crystallorophias
Thalassiosira antarctica	Euphausia crystallorophias
Thalassiosira australis	Euphausia crystallorophias
Thalassiosira frenguelliopsis	Euphausia crystallorophias
Thalassiosira gracilis	Euphausia crystallorophias
Thalassiosira gracilis expecta	Euphausia crystallorophias
Thalassiosira gravida	Euphausia crystallorophias
Thalassiosira lentiginosa	Euphausia crystallorophias
Thalassiosira ritscheri	Euphausia crystallorophias
Thalassiosira trifulta	Euphausia crystallorophias
Thalassiosira tumida	Euphausia crystallorophias
Trichotoxon reinboldii	Euphausia crystallorophias
Dictyocha speculum	Euphausia crystallorophias
Phaeocystis antarctica	Euphausia crystallorophias
Silicioflagellata	Euphausia crystallorophias
Bodo saltans	Euphausia crystallorophias
Amphidinium hadai	Euphausia crystallorophias
Gyrodinium lachryama	Euphausia crystallorophias
Parvicorbucula socialis	Euphausia crystallorophias
Actinocyclus actinochilus	Euphausia frigida
Actinocyclus spiritus	Euphausia frigida
Actinocyclus utricularis	Euphausia frigida
Azpeitia tabularis	Euphausia frigida
Banquisia belgicae	Euphausia frigida
Chaetoceros bulbosum	Euphausia frigida
Chaetoceros concavicornis	Euphausia frigida
Chaetoceros criophilum	Euphausia frigida
Chaetoceros dichaeta	Euphausia frigida
Chaetoceros flexuosum	Euphausia frigida
Chaetoceros neglectum	Euphausia frigida
Chaetoceros pelagicus	Euphausia frigida
Chaetoceros socialis	Euphausia frigida
Corethron criophilum	Euphausia frigida
Coscinodiscus oculoides	Euphausia frigida
Cylindrotheca closterium	Euphausia frigida
Eucampia antarctica	Euphausia frigida
Fragilariopsis curta	Euphausia frigida
Fragilariopsis cylindrus	Euphausia frigida
Fragilariopsis kerguelensis	Euphausia frigida
Fragilariopsis linearis	Euphausia frigida
Fragilariopsis nana	Euphausia frigida
Fragilariopsis obliquecostata	Euphausia frigida
Fragilariopsis pseudonana	Euphausia frigida
Fragilariopsis rhombica	Euphausia frigida
Fragilariopsis ritscheri	Euphausia frigida
Fragilariopsis separanda	Euphausia frigida
Fragilariopsis sublinearis	Euphausia frigida
Fragilariopsis vanheurckii	Euphausia frigida
Manguinea fusiformis	Euphausia frigida
Manguinea rigida	Euphausia frigida
Navicula glaciei	Euphausia frigida
Navicula schefterae	Euphausia frigida
Nitzschia kerguelensis	Euphausia frigida
Nitzschia lecointei	Euphausia frigida
Nitzschia neglecta	Euphausia frigida
Odontella weissflogii	Euphausia frigida
Porosira glacialis	Euphausia frigida
Porosira pseudodenticulata	Euphausia frigida
Proboscia alata	Euphausia frigida
Proboscia inermi	Euphausia frigida
Proboscia truncata	Euphausia frigida
Pseudo-Nitzschia heimii	Euphausia frigida
Pseudo-Nitzschia liniola	Euphausia frigida
Pseudo-Nitzschia prolongatoides	Euphausia frigida
Pseudo-Nitzschia subcurvata	Euphausia frigida
Rhizosolenia antennata	Euphausia frigida
Stellarima microtrias	Euphausia frigida
Thalassiosira antarctica	Euphausia frigida
Thalassiosira australis	Euphausia frigida
Thalassiosira frenguelliopsis	Euphausia frigida
Thalassiosira gracilis	Euphausia frigida
Thalassiosira gracilis expecta	Euphausia frigida
Thalassiosira gravida	Euphausia frigida
Thalassiosira lentiginosa	Euphausia frigida
Thalassiosira ritscheri	Euphausia frigida
Thalassiosira trifulta	Euphausia frigida
Thalassiosira tumida	Euphausia frigida
Trichotoxon reinboldii	Euphausia frigida
Dictyocha speculum	Euphausia frigida
Phaeocystis antarctica	Euphausia frigida
Silicioflagellata	Euphausia frigida
Bodo saltans	Euphausia frigida
Amphidinium hadai	Euphausia frigida
Gyrodinium lachryama	Euphausia frigida
Parvicorbucula socialis	Euphausia frigida
Neogloboquadriana pachyderma	Euphausia frigida
Rhincalanus gigas	Euphausia frigida
Calanus propinquus	Euphausia frigida
Calanoides acutus	Euphausia frigida
Metridia gerlachei	Euphausia frigida
Paraeuchaeta antarctica	Euphausia frigida
Clione limacina	Euphausia frigida
Clione antarctica	Euphausia frigida
Clio pyramidata	Euphausia frigida
Limacina helicina antarctica	Euphausia frigida
Actinocyclus actinochilus	Thysanoessa macrura
Actinocyclus spiritus	Thysanoessa macrura
Actinocyclus utricularis	Thysanoessa macrura
Azpeitia tabularis	Thysanoessa macrura
Banquisia belgicae	Thysanoessa macrura
Chaetoceros bulbosum	Thysanoessa macrura
Chaetoceros concavicornis	Thysanoessa macrura
Chaetoceros criophilum	Thysanoessa macrura
Chaetoceros dichaeta	Thysanoessa macrura
Chaetoceros flexuosum	Thysanoessa macrura
Chaetoceros neglectum	Thysanoessa macrura
Chaetoceros pelagicus	Thysanoessa macrura
Chaetoceros socialis	Thysanoessa macrura
Corethron criophilum	Thysanoessa macrura
Coscinodiscus oculoides	Thysanoessa macrura
Cylindrotheca closterium	Thysanoessa macrura
Eucampia antarctica	Thysanoessa macrura
Fragilariopsis curta	Thysanoessa macrura
Fragilariopsis cylindrus	Thysanoessa macrura
Fragilariopsis kerguelensis	Thysanoessa macrura
Fragilariopsis linearis	Thysanoessa macrura
Fragilariopsis nana	Thysanoessa macrura
Fragilariopsis obliquecostata	Thysanoessa macrura
Fragilariopsis pseudonana	Thysanoessa macrura
Fragilariopsis rhombica	Thysanoessa macrura
Fragilariopsis ritscheri	Thysanoessa macrura
Fragilariopsis separanda	Thysanoessa macrura
Fragilariopsis sublinearis	Thysanoessa macrura
Fragilariopsis vanheurckii	Thysanoessa macrura
Manguinea fusiformis	Thysanoessa macrura
Manguinea rigida	Thysanoessa macrura
Navicula glaciei	Thysanoessa macrura
Navicula schefterae	Thysanoessa macrura
Nitzschia kerguelensis	Thysanoessa macrura
Nitzschia lecointei	Thysanoessa macrura
Nitzschia neglecta	Thysanoessa macrura
Odontella weissflogii	Thysanoessa macrura
Porosira glacialis	Thysanoessa macrura
Porosira pseudodenticulata	Thysanoessa macrura
Proboscia alata	Thysanoessa macrura
Proboscia inermi	Thysanoessa macrura
Proboscia truncata	Thysanoessa macrura
Pseudo-Nitzschia heimii	Thysanoessa macrura
Pseudo-Nitzschia liniola	Thysanoessa macrura
Pseudo-Nitzschia prolongatoides	Thysanoessa macrura
Pseudo-Nitzschia subcurvata	Thysanoessa macrura
Rhizosolenia antennata	Thysanoessa macrura
Stellarima microtrias	Thysanoessa macrura
Thalassiosira antarctica	Thysanoessa macrura
Thalassiosira australis	Thysanoessa macrura
Thalassiosira frenguelliopsis	Thysanoessa macrura
Thalassiosira gracilis	Thysanoessa macrura
Thalassiosira gracilis expecta	Thysanoessa macrura
Thalassiosira gravida	Thysanoessa macrura
Thalassiosira lentiginosa	Thysanoessa macrura
Thalassiosira ritscheri	Thysanoessa macrura
Thalassiosira trifulta	Thysanoessa macrura
Thalassiosira tumida	Thysanoessa macrura
Trichotoxon reinboldii	Thysanoessa macrura
Dictyocha speculum	Thysanoessa macrura
Phaeocystis antarctica	Thysanoessa macrura
Silicioflagellata	Thysanoessa macrura
Bodo saltans	Thysanoessa macrura
Amphidinium hadai	Thysanoessa macrura
Gyrodinium lachryama	Thysanoessa macrura
Parvicorbucula socialis	Thysanoessa macrura
Neogloboquadriana pachyderma	Thysanoessa macrura
Rhincalanus gigas	Thysanoessa macrura
Calanus propinquus	Thysanoessa macrura
Calanoides acutus	Thysanoessa macrura
Metridia gerlachei	Thysanoessa macrura
Paraeuchaeta antarctica	Thysanoessa macrura
Rhodalia miranda	Thysanoessa macrura
Atolla wyvillei	Thysanoessa macrura
Dimophyes arctica	Thysanoessa macrura
Diphyes antarctica	Thysanoessa macrura
Bargmannia	Thysanoessa macrura
Clione limacina	Thysanoessa macrura
Clione antarctica	Thysanoessa macrura
Clio pyramidata	Thysanoessa macrura
